a matter of speculation 	n. 推断	supposition
ambiguous 	a. 不明确的	vague
ambivalent 	a. 矛盾的	mixed
ample 	a. 宽敞的	spacious
ample	a. 充足的;丰富的	plentiful
anchor	v. 使固定	hold in place
ancient 	a. 古老的	antique
ancient	a. 古老的	old
annihilate 	v. 消灭	completely remove
annihilate	v. 消灭	destroy
annihilated	v.废止	destroy
annually	ad. 每年	yearly
anomaly	n. 异常的人或物	irregularity
antagonist 	n. 对手;敌手	competitor
anticipate	v. 预期	expect
antiseptic 	a. 抗菌的	clean
antithesis	n. 对立面	opposite
antler 	n. 鹿角	horn
anxiety 	n. 忧虑;担心	worry
apart from 	phr. 除了…之外	except for
apart from	phr. 除了…之外	exception
apparatus	n. 仪器;设备	equipment
apparent 	a. 显然的	obvious
apparently	ad. 显然地	clearly
apparently	adv. 显然地； 似乎	seemingly
bustling	adj. 忙乱的	busy
appeal	n. 吸引力	attraction
appealing 	a. 有吸引力的	attractive
appear	v. 似乎	seem
appearance	n. 出现	arrival
appearance	n. 出现	rise
appearance	n. 出现	showing up
application	n. 应用	use
appreciable	a. 相当可观的	noticeable
approach 	n. 方法	method
approach	v. 接近	move toward
approximately	ad. 大约地	roughly
architecture	n. 构造	structure
archive	v. 存档	record
archive	v. 存档	stock
archive	v. 存档	store
arduous	a. 艰巨的	difficult
arid 	a. 干旱的	dry
arid	adj.干旱的	dry
arise	v. 出现	emerge
arrangement	n. 安排;布置	configuration
array	n. 一系列	range
article	n. 物品	item
article	n. 物品	object
as a rule 	phr. 通常	in general
assert	v. 断言;宣称	declare
assertion	n. 断言;主张	strong statement
asset	n. 资产;有利条件	advantage
assimilate	v. 同化	combine
assistance	n. 帮助；协助	help
assorted	a. 各式各样的	various
assume	v. 假定;设想	believe
assume	v. 假定;设想	suppose
assume	v. 承担	take on
assumption	n. 假设	premise
astonishing	a. 惊人的	amazing
astoundingly	adv.使人震惊的	incredibly
astute	a. 敏锐的	clever
at random	phr. 随便地;任意地	without a definite pattern
attachment to	n. 依恋	preference for
attain 	v. 达到;获得	achieve
attainment 	n. 达到;获得	achievement
attendant	a. 伴随的	accompanying
attest to 	v. 证实	confirm
attribute 	n. 特点	characteristic
attribute to 	v. 归于; 认为	credit with
attribute	v. 归于;认为	accredit
attribution 	n. 属性	character
augment	v. 增加;提高	increase
available 	a. 可获得的	obtainable
avenue 	n. 途径;手段	means
avenue	n. 途径;手段	method
avid	a. 热衷的	enthusiastic
barely 	ad. 仅仅	just
barge	n. 驳船	boat
barrier 	n. 障碍	impediment
barrier	n. 障碍	obstacle
battle	n. 搏斗;奋斗	struggle
be accustomed to	phrv. 习惯	get used to
be aware of 	phrv. 了解	familiar with
be beforehand	v. 预先	foreordain
be closer resemblance to	phr. 非常相似	be more like
be consistent with	phr. 一致的	be compatible with
be entitled to	phrv. 有…权利	have the right
be inclined 	v. 倾向	tend
beckon	v. 招唤;引诱	invite
become extinct	phrv. 灭绝	die out
being	n. 生命	creature
beneficial 	a. 有益的	advantageous
blossom	v. 兴旺	flourish
blossom	v. 兴旺	thrive
boast	v. 吹嘘	exaggerate
boast	v. 吹嘘	puff
bombard 	v. 炮击;轰击	assault
bombard 	v. 炮击;轰击	strike
bombard	v. 炮击;轰击	assail
boom	n. 激增;爆涨	expansion
boon	n. 利益	great benefit
boost	v. 增加;提高	raise
boundary	n. 边界	periphery
branch 	n. 分支	division
breakthrough	n.突破，革命	revolution
breed	v. 繁殖;饲养	reproduce
brew	vt.开发	develop
brilliant	a. 光辉的;明亮的	bright
brittle	a. 脆弱的	breakable
brittle	a. 脆弱的	fragile
broad appeal 	a. 广泛的吸引力	wide popularity
broadly 	ad. 大体上	generally
broadly	ad. 大体上	extensively
bulk 	n. 主体	major part
bulk	n. 大部份	great quantity
bulk	n. 大部份	large part
bulk	n. 大部份	large portion
bulk	n. 大部份	majority
burgeon	v. 急速成长	expand
bustling	a. 活跃的	lively
camouflage 	v. 伪装	hide
camouflage	v. 伪装	blend with circumstances
camouflage	v. 伪装	disguise
cardinal	a. 基本的	fundamental
cargo	n. 船货;货物	shipment
catastrophic	a. 灾难性的	badly harmful
celebrated	a. 着名的	famous
central	a. 主要的	essential
certain	a. 指定的	specified
champion	vt.提升，提拔	promote
chancy 	a. 冒险的	risky
channel 	v. 引导	direct
channel 	v. 引导	guide
channel 	v. 提供帮助	provide
chaotic	a. 混乱的	disorganized
cherish 	v. 珍爱	value
chief	a. 主要的	major
chisel 	v. 刻;凿	carve
choose	v. 选择	opt
chronic 	a. 长期的;不断的	confirmed
chronic 	a. 长期的;不断的	inveterate
chronic	a. 长期的;不断的	habitual
chronic	a. 长期的;不断的	persistent
chronically	ad. 长期地	constantly
circuitous 	a. 迂迴的	indirect
circumstance	n. 环境;情况	condition
circumstance	n.情况	situation
cite 	v. 引用	refer to
cite	v. 引用	quote
classic 	a. 典型的	typical
clear 	a. 容易看见的	visible
clear	a. 显然的	apparent
cling to	v. 附着	attach to
close	a. 严密的;周密的	careful
clue	n. 线索	hint
clung to	v.坚持	hold
cluster	n.组，群	group
coating	n. 覆盖层	cover
coincide with	v. 同时发生	be as the same time as
collaborate	v. 合作	cooperate
collaboration	n. 合作成果	joint effect
collect 	v. 收集	gather
collide with 	v. 碰撞	run into
collide	v. 碰撞	hit each other
colossal	adj.巨大的	enormous
commemorate 	v. 庆祝;纪念	celebrate
commonly	adv.通常地	generally/normally
compact 	a. 紧密的;简明的	concise
comparable	a. 可比较的	equivalent
comparative 	a. 相当的	relative
compel 	v. 强迫	push
compelling	a. 令人信服的	convincing
compelling	adj.强烈的，引人入胜的	forcing
compensate for 	phrv. 赔偿;补偿	balance
compensate	v. 赔偿;补偿	reimburse
complaint 	v. 抗议	protest
complement	v. 补充	add to
complement	n. 补充物	supplement
completely	ad. 完全地	totally
complex 	n. 复合物;综合体	system
complex	a. 复杂的	elaborate
complicated 	a. 复杂的	complex
complicated 	a. 复杂的	made things more difficult
component	a. 组成的	constituent
composition	n. 合成物	mixture
comprehensive	a. 全部的	complete
comprehensive	a. 能理解的	understandable
comprehensive	adj.全面的，彻底的	thorough
comprise 	v. 组成	make up
comprise	v. 组成	form
compulsory	adj.必须的	required
consensus	n.一致	agreement
concern	v. 感兴趣	interest
conclusive	a. 最后的	final
conclusive	a. 最后的	ultimate
conducive	a. 有助于...的	contributive
configuration	n. 布局;结构	arrangement
configuration	n. 佈局;结构	form
confine 	v. 限制	limit/boundary
confined	adj.有限的	limited
confined	v. 限制	restricted
confront	v. 面临	face
congeal	v. 使凝结	solidify
congregate	vt. vi（使）集合，聚集	gather
consecutive	a. 连续的	successive
consequence 	n. 结果;重要性	importance
consequence	n. 结果;重要性	result
consequent 	a. 作为结果的	resulting
consequent	a. 随后的	later
consequent	a. 作为结果的	resultant
consequential	a. 重要的	significant
consequently	ad. 因此	therefore
consequently	ad. 因此	thus
conserve	v. 保存	save
consider 	v. 考虑;认为认为	think about
consider 	v. 考虑;认为	think as
consider 	v. 考虑;认为	view as
considerable	a. 相当大的	substantial/significant
considerably	adv.相当大地	greatly
consist of 	v. 由…组成	compose of
consistent	a. 一致的	regular
consistently	ad. 一致地	regularly
conspicuous	a. 明显的	notable
constant 	a. 固定的;不变的	stable
constantly 	ad. 经常;不断地	always
constellation 	n. 一系列;一群	collection
constellation 	n. 一系列;一群	combination
constitute	vt. 组成，构成；建立	make up
constitution	n. 构造	component
constrain 	v. 限制	restrict
constraint	n. 限制	limit
constraint	n. 限制	restriction
consume	v. 消耗;吃;喝吃;喝	eat up
consume	v.耗尽	use completely
consumed	v. 消耗	used up
contains	v.包含	includes
contemplate	v. 沉思	consider
contemporary	adj.现代的	modern
contentious	a. 好争吵的	disputed
contiguous	adj.临近的	neighboring
continual	a. 不间断的;连续的	constant
continuous 	a. 连续的;持续的	uninterrupted
continuous	adj.不断前进的	ongoing
contour	vt. 画轮廓	outline
contrive	v. 发明	create
contrive	v. 发明	invent
conventional	a. 习惯的;惯例的	customary
conventional	a. 习惯的;惯例的	traditional
converging	a. 收缩的;会聚的	concentrating
convert 	v. 使转变	transform
convert into	v. 转变成	change to
convict 	v. 宣判	sentence
convict	v. 宣判	condemn
conviction 	n. 坚定的信念	strong belief
conviction	n. 相信;信念	belief
convince	vt.劝说，说服	persuade
cope with	phrv. 应付;处理	deal with
cope with	phrv. 应付;处理	handle
copious	a. 丰富的;大量的	plentiful
core 	n. 核心;要点	center
correlate	v.相关，关联	match
correspondence	n. 一致	harmony
corroborate	v. 证实;确证	confirm
costly	a. 贵重的;昂贵的	expensive
counsel 	v. 忠告	advise
counter of	a. 相反的	in the opposite of
counter	v. 反对	oppose
counterpart	n. 复本;副本	equivalent
counterpart	n. 复本;副本	similitude
counterpart	n. 复本;副本	version
countervail 	v. 抵销;对抗	compensate
countervail	v. 抵销;对抗	oppose
countless	a. 数量很多的	innumerable
couple 	v. 与…联系起来	associate
covered	a. 隐蔽的;有盖的	included
crawl 	v. 爬行;移动	move
create	v. 创作;产生	invent
creative	a. 创造的	inventive
crest	n. 顶峰	peak
critical 	a. 关键的	crucial
critical	a. 关键的	essential
criticize 	v. 批评;责备	debate
crucial	a. 重要的	important
crucially	ad. 关键地	decisively
crushed 	a. 碾碎了的	ground
cumbersome	a. 笨重的;麻烦的	awkward
cumbersome	a. 笨重的;麻烦的	clumsy
cumbersome	a. 笨重的;麻烦的	unwieldy
curb	v. 控制;遏止	control
current 	a. 现在的	present
cushioned	a. 保护	protected
dam	v. 筑坝;控制	block
dangle	v. 悬摆;吊	hang
daring 	a. 大胆的	bold
debate	v. 辩论;争论	argue
decimate	v. 大量毁灭	destroy
decimation	n. 大量毁灭	destruction
deficient	a.不足的	inadequate
degree 	n. 程度	extent
degree	n. 程度	measure
delicate	a. 易碎的;精美的	dainty
delight	v. 使高兴	please
delight	n. 高兴;愉快	pleasure
deluxe	a. 奢华的	lavish
demand	n. 需要;需求	need
demise 	n. 死亡	extinction
demography	n. 人口统计	population
dense	a. 稠密的;密集的	crowded
dense	a. 稠密的;密集的	thick
depend	v. 依赖;依靠依靠	rely on
dependable	a. 可信赖的	reliable
depict	v. 描述	describe
depict	v. 描写;描绘	portray
deplete	vt. 耗尽，用尽	exhaust
depletion	n. 消耗;用尽	drain
deposit 	v. 沉积	accumulate
deposit	v. 放下;放置	lay down
derive	v. 源于;导出	arise
desiccated	adj. 干的	dry
design 	v. 设计	create
designate	v. 命名;指定	identify
detected	vt.认出，识别	identified
determine	vt. 决定；判决	figure out
detractor	n. 诽谤者;恶意批评者	critic
detrimental 	a. 有害的;不利的	harmful
deviate	v. 偏离	digress
deviation	n. 背离	departure
devise	v. 设计;发明	create
devoid of	a. 缺乏的	lack of
devoid of	a. 缺乏的	scant of
devoid of	a. 缺乏的	without
devoted 	a. 虔诚的;专心致志的	dedicated
devoted to 	a. 虔诚的;专心致志的	concentrated on
devour 	vt. 吞食	eat
dictate	v. 口授;命令	determine
dictate	v. 命令	order
differential	a. 差别的;独特的	uneven
diffuse 	v. 扩散;散布	travel
diffuse	v. 扩散;散布	spread
dilemma	n. 困境；进退两难	problem
diligent	a. 勤奋的	careful
diligently	ad. 勤奋地	carefully
dilute	v. 稀释;使薄弱	reduce
dim	v. 变暗淡	decrease
dim	adj.暗淡的，弱的	weak
dimension	n. [数] 维；尺寸；次元	aspect
dimension	n.尺寸	size
disassemble 	v. 拆开	break up
disassemble	v. 拆开	break apart
disband 	v. 解散;遣散	dismiss
discard	v. 摒弃;丢弃	throw away
discard	v. 摒弃;丢弃丢弃	throw up
discernible 	a. 可感知到，可注意到的	noticeable
discernible	a. 可辨别的	discriminating
discernible	a. 可辨别的	noticeable
discharge	v. 释放	release
discrete	adj.分开的	separate
disentangle 	v. 解开	disband
disgust	v. 厌恶	distaste
disintegrate 	v. 分解;碎裂	fall apart
disintegrate	v. 分解;碎裂	break apart
disintegrate	v. 分解;碎裂	tear apart
dismantle 	v. 拆开;拆除	demolish
disorder	n. 混乱	anarchy
dispensable	a. 非必要的	not necessary
dispersal 	n. 散布;驱散	distribution
dispersal	n.传播，散布	spread
displace	v. 迫使(人)离开	move out of position
disposition	n. 性格;性情	temperament
dispute 	n. 争论;争执	argument
dispute	n. 争论;争执	contention
dissipate	v. 驱散	disperse
dissipated 	a. 分散的	dispersed
dissuade 	v. 劝阻	discourage
distant	adj.遥远的	far
distinct	a. 清楚的;明确的	clear and recognizable
distinction	n. 差别	difference
distinction	n. 优秀;卓越	excellence
distinction	n. 荣誉	honor
distinctive	a. 有特色的	characteristic
distinguish	v. 区别; 识别	notice from the difference
distribute	v. 分配;散布	spread
distribution 	n. 分布区域	geographic range
distribution	n. 散布	dispersion
disturb	v. 打乱；扰乱	upset
diverse	a. 不同的	distinct
diverse	adj.不同的	various
diversification	n. 多样化	emergence of many varieties
diversity 	n. 多样性	variety
divest 	v. 剥夺	deprive
divest 	v. 剥夺	get rid of
doctrine	n.原则	principle
domestic	a. 家庭的;国内的	home
dormant	a. 休眠的;不活动的	hibernated
dormant	a. 休眠的;不活动的	inactive
dramatically	ad. 戏剧性地	greatly
drastic	a. 激烈的;极端的	extreme
drastically 	ad. 大大地;彻底地	obviously
drastically 	ad. 大大地;彻底地	severely
dual 	a. 双的;双重的	double
duplicate	v. 复制	copy
duplicate	n. 复本	repeat
durable	a. 经久的;持久的	lasting
earn	v. 赚得;赢得	acquire
ease	v. 使减轻;使缓和	facilitate
eccentric 	a. 古怪的;反常的	strange
eccentric	a. 古怪的;反常的	erratic
efface	v. 消去	eliminate
elaborate 	a. 精巧的;详尽的	detailed
elaborate	a. 精巧的;详尽的	dainty
elapsed 	a. 过去的;经过的	passed
element 	n. （恶劣的）天气	weather condition
elevate	vt.举起，提升	raise
eliminate	v. 排除;消除	remove
elite	n. 精英；精华	excellent person
elusive 	a. 难懂的;难捉摸的	difficult to catch
emanate	v. 散发;产生	emerge
embark on	v. 从事(着手)	start
embed 	v. 插入;植入	enclose
embed	v. 插入;植入	implant
embed	v. 插入;植入	insert
emergence	n. 出现	appearance
emergency 	n. 紧急情况	crisis
emergent 	a. 新兴的	developing
employ	v. 利用	use
enable 	v. 使能够	allow
enactment	n. 制定	establishment
encapsulate	v. 概述	state briefly
encounter	vt. 遭遇，邂逅	meet
encourage	v. 激励；刺激	stimulate
end	n.目的	purpose
endangered	a. 濒临绝种的	not abundant
endeavor	n. 努力	enterprise
endorse	n.认可，支持	support
endow	v. 捐赠	bestow
enduring	adj.耐心的，持久的	withstanding
engulf	v. 吞没	swallow
engulfed	vt.吞咽	swallow
enhance	v. 提高;增强	improve
enhance	v. 提高;增强	intensify
enjoy 	v. 经历	experience
enlist	v. 谋取（支持、赞助等）	obtain
enormous	a. 巨大的	great
enormous	adj.庞大的，巨大的	very large
enrich	v. 使富足	enhance
ensue	v. 因…产生	result
ensuing	a. 接着发生的	subsequent
ensure	v. 保证;担保	guarantee
entail	v. 牵涉	l involve
enthusiastic	a. 热情的	eager
entirely	adv. 完全地，彻底地	wholly
environment	n. 环境	setting
envision	vt. 想像	imagine
ephemeral 	a. 短暂的	short-lived
ephemeral 	a. 短暂的	transient
episode	n. 事件	event
equilibrium	n. 平衡	balance
era 	n. 时代;年代	period
eradicate	v. 根除;消灭	remove completely
erect 	v. 建立	build
erratic	a. 不稳定的;古怪的	irregular
erratic	a. 不稳定的;古怪的	unpredictable
escalate	v. 逐步扩大	extend
essential	a. 极重要的	crucial
essential	adj.必须的	required
essentially	adv.本质上，根本	fundamentally
established 	a. 已制定的	qualified
establishment 	n. 建立;创立	formation
estimate	n. 估计	projection
estimation 	n. 估计	evaluation
euphoric	a. 心情愉快的	extremely happy
evaluate	v. 评价	judge
eventual	a. 最后的	later
eventual	adj.最终的	final
eventually	adv.最后，终于	finally
eventually	ad. 最后	later
eventually	ad. 最后	ultimately
eventually	adv. 最后，终于	in the end
evidence	n. 证据	proof
evident 	a. 明显的	obvious
evident	a. 明显的	apparent
evoke 	v. 唤起; 引起	create in the mind
evoke	v. 唤起;引起	arouse
evoke	v. 唤起;引起	draw
evoke	v. 唤起;引起	promote
evoke	v. 唤起;引起	stimulate
evoke	v. 唤起;引起	produce
evolve	vt. 发展，进化	develop
exaggerate 	v. 夸张;夸大	overstate
excavate 	v. 挖掘	dig out
excavation 	n. 挖掘	dug-out
exceed 	v. 超越;胜过胜过	beyond above
exceed	v. 超越;胜过	surpass
exceedingly 	ad. 极其;非常	extremely
excess 	n. 超越; 胜过	go beyond
exclusively	ad. 专门地;独占地	only
exclusively	adv. 唯一地	solely
excrete	v. 排泄;分泌	expel
exercise 	v. 运用	use
exert	vt. 运用，发挥	utilize
exhausted	a. 精疲力竭的	tired
exhausted	a. 耗尽的;用完的	used up
exhibit 	v. 展示;陈列	demonstrate
exhibit 	v. 展示;陈列	display
expand 	v. 展开;增长	increase
expand	v. 展开;增长	stretch
expanse	n. 一大片区域	area
expansive	a. 广阔的	large
expediency	n. 方便；利己	advantage
expediency	n. 方便;利己	convenience
expedient	a. 权宜的;方便的	fitting
expend	v. 耗尽	use
explicit 	a. 明确的;清楚的	obvious
explicitly	ad. 明确地	clear
exploit	v. 利用	make use of
exploit	v. 利用	take advantage of
exploit	v. 利用	utilize
explore	v. 探测;探索	investigate
expose to	v. 使经历	subject to 
express	v. 表达	communicate
extant 	a. 现存的;尚存的	remaining
extant	a. 现存的;尚存的	existing
extant	a. 现存的;尚存的	not extinct
extend	v. 延伸	reach
extend	v. 延伸	stretch
extensive	adj. 广泛的；大量的；广阔的	broad
extensive	adj.广泛的，大量的	large
extol 	v. 赞美	praise
extraneous	a. 无关的;外来的	from outside
extraneous	a. 无关的;外来的	inessential
extraordinary	a. 异常的	exceptional
exude	v. 渗出;发散	give off
exude	v. 渗出;发散	release
fabricate	v. 制造	produce
facet	n.方面	aspect
fascinating	a. 迷人的	extremely attractive
fashion	v. 形成;造	make
fashion	n. 样子;方式	way
fashionable 	a. 流行的;时尚的	popular
feasible	a. 可实行的	achievable
feasible	a. 可实行的	practical
feasible	adj.可能的	probable
feast	n. 盛宴	eating
ferry	n. 渡轮	transport
fertile	a. 肥沃的;多产的	productive
fertile	a. 肥沃的;多产的	reproductive
figure out 	phr. 计算出;解决	map
finding	n. 发现	discovery
first and foremost 	phr. 首先;首要地	above all
flake 	n. 小薄片	fragment
flattery	n. 恭维	praise
flee	v. 逃走	run away from
flexible	a. 易适应的	adaptable
float 	phrv. 浮起	upward rise
float	v. 漂浮	stay on the top
flourish 	v. 繁荣;兴旺	prosper
flourish	v. 繁荣;兴旺	thrive
flourishing	a. 繁荣的	prosperous
flow	n. 流动	movement
fluctuate	v. 变动	change
fluctuation	n. 变动;起伏	variation
focus 	n. 焦点	point centre area
focus	vt.使集中	concentrate
follow	v. 跟随	track
for instance	phr. 例如	for example
forage 	v. 觅食	search for food
forage	n. 饲料	feed
foremost	adj.重要的	important
formidable 	a. 巨大的	excessive
foster 	v. 培养;促进	promote the development of
foster	v. 鼓励	encourage
foster	v. 培养;促进	urge
foul	v. 污染	pollute
fragment	v. 使成碎片	break up
fragmentation	n. 破裂	break
fragmentize	v. 使成碎片	break up
frankly 	ad. 坦白地	openly
frankly	ad. 真诚地	sincerely
friction	n. 争执;不合	conflict
function	n. 效用;作用	operation
function	n. 效用;作用	utility
fundamental 	a. 基础的	basic
funds	n. 资金	money
furthermore	ad. 此外	in addition
furthermore	adv. 此外；而且	moreover
gap	n. 缺口;裂口	opening
gear 	v. 使适合	adjust
generate	v. 产生	produce
genuine	adj. 真实的，真正的；诚恳的	true
genuinely 	ad. 真诚地	actually
gesture	n.姿势，动过	movement
get accustomed to	phrv. 习惯	become used to
give rise to	phrv. 引起	produce
given 	a. 规定的;特定的	particular
govern	v. 统治;管理	control
govern	v. 统治;管理	regulate
grasp 	v. 领会;理解	understand
groom 	v. 装扮;使整洁使整洁	make up
groom	v. 装扮;使整洁	clean
groundless 	a. 无根据的	unfounded
grounds 	n. 根据;理由	reasons
groundwork	n. 基础	base
groundwork	n. 基础	basis
groundwork	n. 基础	foundation
grudging	a. 勉强的	unenthusiastic
guarantee	v. 保证;担保	ensure
hairline	adj.细小的，纤细的	slight
hallmark	n. 戳记，标志	characteristic
hamper 	v. 防碍;束缚	district
hamper 	v. 防碍;束缚	make difficulty
hamper	v. 防碍;束缚	restrict
handy	a. 便利的;灵活的	convenient
haphazard	a. 随意的	random
harness	v. 利用	use
harness	v. 利用	utilize
harsh	a. 严厉的;严酷的	drastic
hasty	a. 匆匆的;急忙的	hurried
haul	v. 拉	pull
have nothing to do with	phrv. 不相干	in no relation to
havoc	n. 浩劫	destruction
hazard 	n. 危险	danger
heed	v. 留心;注意	notice
heighten	v. 增加;提高	increase
heir	n. 继承人;后继者	inheritor
hence	ad. 因此	therefore
heritage 	n. 遗产;传统	legacy
heritage	n. 遗产;传统	tradition
heterogeneous	a. 由不同种类组成的	varied
hide	v. 隐藏	conceal
hinder	v. 妨碍	interfere with
hint	n. 暗示;迹象	clue
hint	n. 暗示;迹象	implication
hint	n. 暗示;迹象	indication
hint	n. 暗示;迹象	lead
hire	v. 雇用	employ
hitherto	adv.先前的	previously
hobby	n. 嗜好	pastime
hold 	v. 支撑;保持	support
hold	v. 支撑;保持保持	keep up
hollow	n. 中空	an empty space
homogeneous 	a. 同种的	uniform
host of 	n. 大量	great number
however 	conj. 然而	yet
hub	n. 中心	center
huge	a. 巨大的	large
hurdle 	v. 用篱笆围	fence
hypothetical 	a. 假设的;假定的	supposed
ice sheet	n. 冰原	glacier
identical	a. 同样的	the same
idiosyncrasies 	n. 特性	peculiarity
ignite	v. 点燃	set on fire
illuminate	adj.明亮的	bright
illusion	n. 错觉;幻像	impression
immediately	ad. 接近;紧接着	closest
immense	a. 巨大的	great
immense	a. 巨大的	huge
immense	a. 巨大的	vast
immensely	ad. 非常	extremely
immigration	n. 移居	movement
immobile	a. 固定的;静止的	fixed
immobility	n. 固定;静止	absence of motion
immoral	a. 不道德的	improper
immoral	a. 不道德的	indecent
impermeable 	a. 不能渗透的	impervious
impermeable	a. 不能渗透的	impenetrable
impetus	n. 刺激;促进	incentive
impetus	v. 刺激;促进	stimulus
implausible	a. 难以置信的	unbelievable
implement	n. 工具	tool
implement	vt. 实施，执行	carry out
imply	v. 意味	indicate
imposing	a. 给人深刻印象的	impressive
imprecise	a. 不精确的	inexact
improbable	a. 不像会发生的	unlikely
in fact	phr. 事实上	actually
in great demand 	phr. 普遍	in popularity
in respect to	phr. 就…而言	in term of
inaccessible	a. 难接近的	unreachable
inadvertently 	ad. 非故意地	without knowing
inadvertently	ad. 非故意地	unintentionally
inaugurate 	vt.开创	introduce
inauspicious	a. 不吉利的	unfavorable
incentive	n.动机；刺激	motive
inception	n.起初	beginning
incidentally	ad. 顺便一提	by the way
inclement 	a. (气候)严酷的	unfavorable
inconceivable	a. 难以置信的	unimaginable
inconclusive	a. 不确定的	without result
incorporate	v. 包含	include
incorporate	v. 吸收;併入	merge
incursion	n. 入侵	invasion
indicate	v. 指示;指出	demonstrate
indigenous 	a. 本土的;土生土长的	native
indispensable 	a. 不可缺少的	essential
indispensable	a. 不可缺少的	necessary
indispensable	a. 不可缺少的	needed
indispensable	a. 不可缺少的	required
indispensable	a. 必不可少的	significant
indispensable	a. 不可缺少的	vital
indistinct	adj. 模糊的，不清楚的	not clear
induce 	v. 引起	bring
induce 	v. 引起	cause
inducement	n. 诱因，刺激物	incentive
ineffectively	ad. 无效地	without any result
inert	a. 迟缓的;惰性的	motionless
inert	a. 迟缓的;惰性的	motiveless
inevitable	a. 不可避免的	unavoidable
inference	n. 推断的结果	conclusion
infirm	a. 不坚定的;衰弱的	weak
inflate	v. 膨胀;扩大	expand
inflicting	v.使承受	bring about/ impose
infrastructure	n. 基础建设	foundation
ingenious	a. 心灵手巧的	very clever
ingenuity	n. 心灵手巧;独创性	cleverness
ingenuity	n. 心灵手巧;独创性	creativeness
ingenuity	n. 心灵手巧;独创性	inventiveness
ingenuity	n. 心灵手巧;独创性	resourcefulness
inherent	a. 内在的;固有的	essential
inherent	a. 与生俱来的	in characteristic of
inherent	a. 与生俱来的	instinctive
inherent	a. 内在的;固有的	internal
inherently 	ad. 固有地	essentially
inhibit 	v. 约束;抑制	hinder
inhospitable	a. 冷淡的;不适宜的	adverse
inhospitable	a. 冷淡的;不适宜的	unfavorable
initial	a. 最初的	first
initialing	v. 开始；创建	beginning
initially 	ad. 最初;开头	originally
initiate 	v. 开始;创始	start
initiate	v. 开始;创始	begin
innovation 	n. 革新;创新	new
innovative	a. 创新的	new
inordinate	a. 过度的	excessive
install	v. 放置，安置	put in place
instant	n. 片刻;瞬间	moment
instantaneous	a. 即刻的	immediate
instigate	v. 唆使;煽动	incite
instructive	v. 富有教育意义的	informative
insufficient	a. 不足的	inadequate
intact	a. 完好的	untouched
intact	adj. 完整的	complete
intangible 	a. 无形的	nonmaterial
intangible	a. 无形的	immaterial
integral	adj.不可或缺的	essential
integral	a. 构成整体所需要的	essential
intense 	a. 强烈的	strong
intentionally	ad. 有意地;故意地	deliberately
intercourse	n.交流	exchange
intermediate	a. 中间的;媒介	in between
intermingle	vt. 使混合；使搀和	interact
intimate 	a. 亲密的	close
intricate 	a. 复杂的	carefully shaped
intricate	a. 复杂的	complex
intrigue	v. 引发…兴趣	interest
