primarily,"ad. 主要地,首先地,基本地"
observe,"vt. 观察,遵守,注意到,纪念vi. 注意,评论"
revolution,"n. 革命,大变革,循环,转数,旋转"
figure,"n. 图形,数字,形状vt.描绘,演算vi.出现,估计"
novelist,n. 小说家
predict,"v. 预知,预言,预报"
talent,"n. 才能,有才干的人,天才,天资"
physicist,"n. 物理学者,唯物论者"
performance,"n. 绩效,表现,演出"
distinguish,"v. 区别,辨别"
merely,ad. 只不过，只是
reduce,"vt. 减少,分解,降低 vi. 减少 v.缩小"
struggle,"n. 竞争,努力,奋斗vi. 努力,奋斗,挣扎"
manner,"n. 样子,礼貌,风格"
confuse,"vt. 使混乱,使狼狈,使困惑"
damage,"n. 损害,伤害v. 损害"
compromise,"n. 妥协,折中,折中案,和解vi. 妥协处理vt. 危害"
associate,"n. 同伴,伙伴vt. 联合,联想vi. 交往n. 关联"
various,"a. 不同的,各种的,多方面的,杂色的,个别的,许多的"
controversial,"a. 争论的,论争的,被议论的"
destroy,"vt. 破坏,毁坏,消灭"
instrument,"n. 工具,手段,仪器"
prevent,"v. 预防,防止,妨碍,阻止,避免"
circumstance,"n. 环境,状况,事件"
commercial,"a. 商业的,商用的,商品化的n. 广告节目"
candidate,"n. 候选人,投考者"
convince,"vt. 说服,使相信"
distinction,n. 区别
reject,"n. 被拒之人,不合格品vt.拒绝,抵制,否决"
classical,"a. 古典的,正统派的,古典主义的"
perception,"n. 知觉,感觉,领悟力"
property,"n. 财产,所有权,性质n. 属性"
gender,n. 性vt. 产生
aesthetic,"a. 美学的,审美的,有美感"
critical,"a. 批评的,决定性的,危险的,临界的"
pursue,"vt. 追赶,追踪,追捕,追随vi.追赶,继续"
status,"n. 状态,情形,地位,重要身份n. 状态"
predator,"n. 掠夺者,食肉动物"
imitate,"vt. 模仿,效法,冒充,仿造"
obscure,"a. 微暗的,难解的,偏僻的vt.使阴暗,隐藏"
seriously,"adv. 1 a. 认真地,正经地b.说正经地2严重地"
fascinate,"vt. 令人入神,使着迷vi. 入迷"
interpretation,"n. 解释,演出,翻译"
myth,"n. 神话,虚构的事,虚构的人"
nevertheless,"ad. 然而,虽然如此conj. 然而"
reaction,"n. 反应,反作用,影响,反动,反馈"
stud,"n. 图钉,种马,领扣,大头钉vt.镶嵌,点缀"
undermine,"vt. 渐渐破坏,挖掘地基,暗地里破坏"
anticipate,"vt. 预期,占先,提前使用"
cause,"n. 原因,目标vt. 引起,使产生,成为...的原因"
diversity,"n. 差异,多样性"
observer,"n. 观察者,遵守者,评论者"
capacity,"n. 容量,能力,才能,资格n. 容量"
convention,"n. 大会,协定,惯例n. 约定"
craft,"n. 技艺,手艺,诡计vt. 巧手制作"
excessive,"a. 过度的,格外的,极端的"
spontaneous,"a. 自然的,自发的,未经琢磨的"
accomplishment,"n. 成就,完成"
accurately,"ad. 正确地,精确地"
democracy,"n. 民主政治,民主主义"
evolve,"vi. 进展,进化,展开vt. 使发展,推论,使进化"
foster,"a. 收养的,养育的vt. 养育,抚育 ,鼓励"
infer,"vt. 推论出,推断vi. 作推论"
media,n. 媒体
solve,"vt. 解决,付给,溶解v. 求解"
trace,"n. 痕迹,踪迹,缰绳,迹线vt.追踪,回溯vi.上溯"
creation,"n. 创造,创作物,发明"
dispute,n. 争论v. 争论
imagination,"n. 想象,听觉,想象力"
innovation,"n. 改革,创新"
numerous,"a. 很多的,数目众多的,多数的"
originality,"n. 创意,新奇,原始"
colonial,"a. 殖民的,殖民地的"
device,"n. 装置,设计,策略,发明物n. 设备"
enhance,"vt. 提高,加强,增加"
fossil,"n. 化石,古物a. 化石的,陈腐的,守旧的"
hop,"n.单脚跳,跳跃vi跳跃vt. 跃过"
journal,"n. 日记,杂志,日报"
phrases,n. 字句
stress,"n. 压力,紧迫,强调,重点vt.加压力于,着重"
assertion,"n. 断言,主张"
complain,"v. 抱怨,悲叹,控诉"
crucial,"a. 决定性的,重要的,严厉的"
extreme,"n. 极端,末端a. 极端的,尽头的,偏激的"
mammal,n. 哺乳动物
provoke,"vt. 激怒,惹起,驱使"
relatively,"adv. (无比较级、最高级)相对地; 比较上,成比例地"
render,"vt. 报答,归还,汇报,提出,反映vi.给予补偿"
sophisticated,"a. 诡辩的,久经世故的"
sustain,"vt. 承受,支持,支撑,供养,忍受,准许,证实,蒙受"
chili,n. 红辣椒
collector,"n. 收集家,收税员"
expectation,"n. 期待,指望,展望"
decline,"n. 衰微,跌落,下降vt.使降低vi.下降,衰落"
possibility,"n. 可能性,可能的事"
rely,"vi. 信赖,依赖,信任"
adaptation,"n. 改编,适应,改编成的作品"
contribution,"n. 捐助,捐助之物,贡献"
insect,"n. 昆虫,卑鄙的人"
suspect,"n. 嫌疑犯a.可疑的v. 怀疑,猜想"
biography,n. 传记
ward,"n. 守卫,保卫,保护,锁孔,牢房vt.守护"
appreciation,"n. 赏识,鉴识,感激"
invention,"n. 发明,创作能力,虚构的故事"
relative,"n. 亲戚,关系词a. 有关系的,相对的,比较的"
universal,"a. 全世界的,普遍的,,通用的n. 一般概念"
reputation,"n. 名誉,名声,声望"
diverse,"a. 不同的,变化多的"
staff,"n. 全体人员,同事,棍棒,杆,权杖,支柱,拐杖"
regret,"n. 遗憾,后悔,歉意,抱歉vt.惋惜,哀悼,抱歉"
committee,n. 委员会
conclude,"vt. 结束,作结论,推断vi. 结束,断定"
resist,"v. 抵抗,耐得住,抵制,反抗n. 防染剂"
fundamental,"n. 基本原理,原则,基谐波a. 基本的,重要的"
gesture,"n. 手势,姿态vi. 作手势,作姿态"
deserve,"vt. 该得到,值得vi. 应得报答"
entertainment,"n. 娱乐,款待,娱乐表演"
theoretical,"adj. 1 a. 理论 (上) 的,学理的b.理论上的"
remind,"vt. 提醒,使想起"
cast,"n. 演员阵容,投掷,性质,预测,铸件vt.投,掷 "
symbol,"n. 符号,象征,代号,信条"
cover,"n. 盖子,封面,vt. 覆盖,掩饰,包括"
urban,"a. 都市的,住在都市的,习惯于都市的"
sculpture,"n. 雕刻,雕塑vt. 雕刻,雕塑vi. 当雕刻师"
advertise,"vt. 做广告,通知vi. 做广告"
initial,"n. 字首,首字母a. 开始的,最初的,字首的"
impress,"n. 印象,特征,强征,压痕,印记vt.使有印象"
possess,"vt. 持有,占有,使拥有,迷住,支配"
requirement,"n. 需求,必要条件,要求"
profession,"n. 职业,表白,声明,公开宣布"
trial,"n. 审判,试验,考验,麻烦事a.尝试的,试验性的"
studio,"n. 工作室,画室,演播室"
commit,"vt. 委托(托付),犯罪,押往,使承担义务"
budget,"n. 预算vi.编预算vt.编入预算,安排a.廉价的"
evaluate,"vt. 评估,评价,赋值"
disappoint,vt. 使失望
clarify,"vi. 澄清,阐明vt. 使明晰"
hardly,"ad. 刚刚,几乎不,勉强是"
conservative,"a. 保守的,守旧的,有保存力的"
customs,n. 关税(风俗)
absorb,"vt. 吸收,并吞,全神贯注,同化"
absence,"n. 缺乏,没有,缺席"
opposite,"a. 相对的,相反的prep. 对面n. 对立面"
climate,"n. 气候,民意状况,社会趋势,风土"
reserve,"n. 预备品,贮存,预备舍vt.保留,推迟"
representative,"n. 代表,众议员a. 描写的,表现的,典型的"
overlook,"vt. 俯瞰,远眺,没注意到n. 眺望"
adopt,"vt. 采用,收养,接受"
discount,"n. 折扣,贴现率vt. 打折扣vi. 贴现"
vital,"a. 重要的,生命的,致命的,生死攸关的"
appropriate,a. 适当的
contradict,"vt. 反驳,与...抵触,与...矛盾vi. 反驳"
exploit,"n. 功绩,勋绩vt. 开发,利用,开拓,剥削"
obtain,"vt. 获得,达到vi. 流行"
invent,"vt. 发明,创作,虚构"
attribute,"n. 属性,定语,标志vt. 归于,属于"
automobile,n. 汽车
consumer,n. 消费者
dolphin,n. 海豚
efficient,"a. 有效率的,能干的"
evoke,"vt. 唤起,引起"
gaze,"n. 注视,凝视vi. 注视,凝视"
pose,"n. 姿势,姿态,装模作样,伪装vi.摆姿势"
prospect,"n. 景色,希望,展望vt. 勘探vi.勘探,有前途"
revolutionary,"n. 革命者,改革者a. 革命的,革命性的"
route,"n. 路径,途径,路线vt.确定路线"
strategy,"n. 策略,军略"
usage,"n. 用法,使用,利益,惯例"
vaccine,"n. 疫苗a. 疫苗的,牛痘的"
arouse,"vt. 唤醒,鼓励,引起vi. 睡醒"
disdain,"n. 轻蔑vt. 蔑视,鄙弃"
irrelevant,"a. 不恰当的,无关系的,不相干的"
passionate,"a. 热情的,热烈的,易怒的"
reinforce,"vt. 加强,增援,补充vi.求援 n. 加固物"
reluctant,"a. 不情愿的,勉强的,厌恶的"
acceptance,"n. 接受,容纳,承诺"
tramp,"n. 重步声,流浪者vi.践踏,步行,流浪vt.跋涉"
indignation,"n. 愤怒,愤慨,义愤"
interact,"vi. 互相影响,交互作用n.幕间剧,幕间休息"
beneficial,a. 有益的
camper,n. 露营者
consciousness,"n. 意识,知觉,自觉"
derive,vt. 得自vi. 起源
endorse,"vt. 支持,赞同,背书于,签"
exploration,"n. 探险,踏勘,探测"
factual,"a. 事实的,实际的"
forgery,"n. 伪造,伪造罪,伪造物"
initially,"ad. 最初,开头"
integrity,"n. 正直,廉正,完整"
intense,"a. 非常的,强烈的,紧张的,热情的"
interpret,"vt. 解释,演出,翻译vi. 翻译,解释"
motive,"n. 动机,目的,主题,发动力a.运动的"
neglect,"n. 疏忽,忽略,怠慢vt. 疏忽,忽视,不顾"
prediction,"n. 预言,预报"
proof,"n. 证据,证明,考验a.不能透入的vt.检验,试验"
prose,"n. 散文v. 写散文a. 散文的,平凡的"
flask,"n. 细颈瓶,烧瓶,小水瓶"
influential,"a. 有影响的,有势力的"
regularly,"ad. 有规则地,一丝不苟地,正式地"
stimulate,"vt. 刺激,激励,鼓舞vi. 起刺激作用"
sufficiently,adv. 1 充分地2 足够<做…>地
technological,a. 科技的
chimpanzee,n. 黑猩猩
complexity,"n. 复杂,复杂性,复杂的事物"
controversy,"n. 论争,辩论,论战,争论"
critique,"n. 批评,批评法,评论"
depiction,"n. 描写,叙述"
detect,"vt. 发现,察觉,探测"
distinct,"a. 清楚的,显著的,不同的"
emerge,"vi. 浮现,形成,(事实)显现出来"
ethical,"a. 伦理的,民族的,民族特有的"
frustrate,"vt. 挫败,击败,破坏a.无益的,挫败的,挫折的"
giant,"n. 巨人,大力士,巨大的怪物a. 庞大的,巨大的"
improvement,"n. 进步,改善,利用"
instructor,"n. 教师,讲师,指导书"
jerry,"a. 草率的,偷工减料的"
limitation,"n. 限制,缺陷,限额"
contact,"n. 交际,接触vi.接触,会晤vt. 使接触"
contract,"n. 合约,婚约,契约vt. 使缩短,承包,订约"
delegate,n. 代表vt. 委派...为代表
dioxide,n. 二氧化物
distort,"vt. 扭曲,歪曲"
domestic,"a. 家庭的,国内的,驯服的"
ensure,"vt. 确定,保证,担保,保护"
generalization,"n. 一般化,普遍化,概括"
illusion,"n. 幻影,错觉,幻想"
inhabit,"vt. 居住于,占据,栖息"
introductory,"a. 介绍的,引导的,开端的"
irony,"n. 反讽,讽刺,讽刺之事"
isolate,"vt. 使隔离,使孤立,使绝缘n. 隔离种群"
judgment,"n. 裁判,宣告,判决书"
literally,"ad. 逐字地,按照字面上地,不夸张地"
motivate,"vt. 给予动机,刺激,提高...的学习欲望,促动"
occasion,"n.理由,诱因vt. 致使,惹起,引起"
organism,"n. 生物,有机体,社会组织"
originate,"vt. 开始,发明,发起vi. 发源,发生v. 发自"
pendant,"n. 垂饰,下垂物"
photography,"n. 摄影,摄影术"
additional,"a. 附加的,另外的"
arc,"n. 弧,弧形,弓形"
articulate,"a. 有关节的,发音清晰的vt.接合,明白地说"
breed,"n. 种类,品种v. 养育,引起,饲养,繁殖"
bypass,"n. 旁路vt. 省略,绕过,忽视,回避"
cherish,"vt. 珍爱,怀有,爱护"
classic,"n. 古典作品,杰作a.最优秀的,古典的"
contest,"n. 竞赛,争论vt. 竞赛,争取,争辩vi.争夺"
conviction,"n. 定罪,信服,坚信"
cynical,"a. 愤世嫉俗的,讽刺的,冷嘲的"
defy,"vt. 藐视,挑衅,使落空n. 挑战"
designer,"n. 设计家,打图样的人,计划者,企图者,阴谋者"
discipline,"n. 训练,纪律vt. 训练,惩罚"
disregard,"n. 忽视,漠视vt. 忽视,不顾"
durability,"n. 耐久性[力],持久性[力],坚牢"
economy,"n. 经济,理财,节约"
elementary,"a. 初步的,基本的"
exception,"n. 例外,除外,异议"
exclusively,"adv. 1 专门地,完全地,仅2 排他性地,独占性地"
grind,"n. 磨,碾,苦差,书呆子vt. 摩擦,压榨,折磨"
intrigue,"n. 阴谋,复杂的事vi. 密谋,私通vt.用诡计取得"
virtually,ad. 事实上
visible,"a. 看得见的,明显的,显然的n.可见物"
wary,"a. 小心的,机警的,周到的,唯恐的"
bewilder,vt. 使不知所措
inappropriate,"a. 不适当的,不相称的"
ironic,"adj. 讥讽的,说讥讽话的,反语的"
mutual,"a. 相互的,共有的"
rigorous,"a. 严厉的,严酷的,严格的,严密的"
ally,"n. 盟友,同盟国vt. 联盟,联合vi. 结盟"
awe,n. 敬畏vt. 使敬畏
brilliance,"n. 卓越,光辉"
brilliant,"a. 灿烂的,有才气的"
characterization,"n. 描述,人物之创造"
considerable,"a. 相当的,可观的,重要的"
diminish,"v. (使)减少,(使)变小"
disparage,"vt. 蔑视,贬损"
excitement,"n. 刺激,兴奋"
exemplify,"vt. 例证,例示"
foundation,"n. 基础,根据,建立"
herd,"n. 兽群,人群,牧人vt. 群集,使成群,放牧vi. 成群"
household,"n. 家庭,家族,王室a. 家庭的,家族的,家属的"
prominent,"a. 卓越的,显著的,凸出的,突起的"
acceptable,"a. 可接受的,合意的,合适的"
anxiety,"n. 焦虑,忧虑,焦虑的事"
autobiography,n. 自传
conception,"n. 观念,概念"
constantly,"ad. 不变地,不断地,时常地"
crack,"n. 裂缝,爆裂声vi.(使)爆裂,(使)裂开"
particular,"n. 个别项目,详细说明a. 特别的,独有的,挑剔的"
present,"n. 礼物,现在,瞄准a.现在的vt.介绍,引见,赠送"
paragraph,"n. 段落,短评vt.,分段落n. 段落"
selection,"n. 选择,选文,选品"
sentimental,"a. 感伤性的,感情脆弱的"
strip,"n. 长条,条状,带,脱衣舞vt.脱衣,被剥去"
sublime,"a. 壮观的,卓越的v. 提高"
territory,"n. 领土,领地,活动范围,地区,版图"
casual,"a. 偶然的,不经意的,便装的n.临时工,待命士兵"
delightful,"a. 令人愉快的,可喜的"
impulse,"n. 冲动,驱使,刺激,脉冲,冲力vt. 推动"
obligation,"n. 义务,责任,恩惠,契约,约束"
pilgrim,"n. 旅行者,朝圣者,香客vi. 朝圣"
inspiration,"n. 灵感,鼓励者,吸气"
isolation,"n. 隔绝,孤立,隔离"
legislator,"n. 立法者,立法官,立法委员"
mount,"vi. 爬上,增长,上马"
nostalgic,"a. 乡愁的,怀旧的"
panel,"n. 嵌板,仪表板,座谈小组,全体陪审员"
protein,n. 蛋白质a. 蛋白质的
rebellion,"n. 谋反,叛乱,反抗"
average,"n. 平均,平均数,海损a.一般的,通常的,平均的"
religious,"a. 宗教性的,虔诚的,宗教上的n.修道士,出家人"
application,"n. 应用,申请,志愿书n. 应用程序"
vehicle,"n. 交通工具,车辆,传达媒介"
glance,"n. 一瞥,闪光,一滑,辉矿类vi.扫视,掠过,闪光"
mosquito,n. 蚊子
consideration,"n. 考虑,原因"
parallel,"n. 平行,对比a.平行的,相似的vt.使平行"
grammar,"n. 文法,入门"
evolution,"n. 进化,发展,进展,开方"
communicate,"vt. 沟通,传达,感染vi. 通讯"
apart,"ad. 分别地,分开的"
vain,"a. 徒然的,虚荣的,愚蠢的,自负的,空虚的"
condemn,"vt. 判刑,责备,谴责,声讨,处刑"
continent,"n. 大陆,洲a. 自制的"
distribute,"vt. 分配,散布,分发"
tiny,"a. 很少的,微小的"
enthusiastic,"a. 狂热的,热心的,热烈的"
spiritual,"a. 精神上的,神圣的,崇高的,高尚的"
vivid,"a. 生动的,鲜明的,鲜艳的,清晰的,逼真的"
confident,"a. 有信心的,有把握的"
volunteer,n. 志愿者a. 志愿的v. 自愿
bacteria,n. 细菌
guilty,"a. 犯罪的,心虚的"
assess,"vt. 估定,评定"
rescue,"n. 援救,解救,营救vt. 援救,救出,营救"
organize,"vt. 组织,有机化,给予生机vi. 组织起来"
preference,"n. 偏爱,优先,喜爱物n. 首选项"
outstanding,"a. 杰出的,突出的,未付的"
draft,"n. 气流,草稿,汇票,草案vt. 起草,征兵n. 草稿"
relevant,"a. 有关联的,中肯的,有关系的,相应的"
bar,"n. 条,棒,障碍物,栅,酒吧vt. 禁止,阻挡,妨碍"
refusal,"n. 拒绝,推却,优先决定权"
permit,"n. 许可证,许可,执照vt. 允许,容许vi. 容许"
chemistry,"n. 化学,化学作用"
accompany,"vt. 陪伴,带有,为...伴奏vi. 伴奏"
precious,"a. 宝贵的,珍贵的,过于精致的,珍爱的"
nuclear,"a. 核子的,原子能的,核的,中心的"
valid,"a. 有确实根据的,有效的,正当的,正确的"
restrict,"vt. 限制,限定,约束"
frighten,vt. 使惊吓vi. 惊恐
curious,"a. 好奇的,求知的,古怪的"
astonish,vt. 使惊讶
retire,"n. 隐居vi. 引退,退役,撤退vt. 撤退,辞退"
branch,"n. 树枝,支店,部门,分部,支流vt. 分割"
react,"vi. 起反应,起作用,反抗,反攻"
religion,"n. 宗教,信仰"
sideways,"ad. 向旁边,斜地里,向侧面地a.旁边的"
plastic,"n. 塑胶,可塑体,整形a.塑胶的,有可塑性的"
photographer,"n. (报纸、杂志等之) 摄影者,摄影家"
recipe,"n. 食谱,处方,秘诀"
arbitrary,"a. 任意的,恣意的,专制的"
faith,"n. 信心,信任,忠实,保证"
junk,"n. 垃圾,舢板"
pound,"n. 磅,英镑,重击,拘留所,鱼塘vt.强烈打击"
wildlife,n. 野生植物
concrete,"n. 水泥,混凝土a. 具体的v. (使)凝结"
outline,"n. 大纲,轮廓,概要vt. 描画轮廓n.大纲"
settler,"n. 移民者,居留者,赠予者"
hook,"n. 钩,钩状,镰刀,陷阱vt钩住,偷窃vi.钩紧"
deliberately,ad. 故意地
psychology,"n. 心理学,心理状态"
mineral,"n. 矿物,无机物,苏打水a.矿物的,似矿物的"
symphony,"n. 交响乐,交响曲"
founding,adj. 成立的
sacred,"a. 神圣的,上帝的,庄严的,祭祀的"
gradually,ad. 逐渐地
fortunate,"a. 幸运的,幸福的"
trunk,"n. 干线,树干,躯干,箱子a.树干的,躯干的"
reformer,"n. 改革家,改革运动者"
resemble,"vt. 相似,类似,像"
saint,"n. 圣徒,圣人a. 神圣的"
static,"n. 静电,静电干扰a. 静态的,静电的"
stereotype,"n. 铅版,陈腔滥调,老套vt.使一成不变"
subtle,"a. 敏感的,精细的,狡猾的,微妙的,精巧的"
suspicious,"a. 可疑的,疑惧的,怀疑的"
conceal,"vt. 隐藏,掩盖,掩蔽"
conform,"vt. 使一致,遵守,使顺从vi.一致"
consequently,ad. 结果
constitutional,"a. 组织的,立宪的,体质的"
contradiction,"n. 反驳,矛盾"
counterpart,"n. 副本,复本,配对物,相应物"
cultivate,"vt. 培养,耕作"
democratic,a. 民主的
dominate,"v. 支配,占优势"
embrace,"n. 拥抱vt. 拥抱,包含,收买"
enthusiasm,"n. 狂热,热心"
ethic,"n. 道德规范,伦理"
exceptional,"a. 例外的,异常的,特别的"
fate,"n. 命运,运气vt. 注定"
fungus,"n. 菌类,蘑菇"
galaxy,"n. 银河,星系,一群显赫的人物"
generous,"a. 有雅量的,量大的,慷慨的,丰富的"
harsh,"a. 粗糙的,刺耳的,严厉的"
hybrid,"n. 混血儿,杂种,混合物a. 混合的,杂种的"
ignorance,"n. 无知,不知"
imaginative,"a. 想象的,虚构的"
wilderness,"n. 荒野,荒地,大量"
fable,"n. 寓言,神话,谎言vi. 虚构,作寓言"
hazardous,"a. 危险的,冒险的,赌运气的"
predecessor,"n. 前任,先辈,以前的东西"
prestige,"n. 声望,威望,威信"
resistance,"n. 抵抗力,反抗,耐力,反抗行动,电阻,反对,阻力"
acclaim,"n. 喝彩,欢呼,赞同v. 欢呼,喝彩,称赞"
agent,n. 代理商
ape,n. 猿
bias,"n. 偏见,斜线a.ad. 斜(的)vt. 使有偏见"
biographical,a. 传记的
canvas,"n. 帆布,画布,油画"
capable,"a. 有能力的,能的,能干的"
carnivore,n. 食肉动物
clue,"n. 线索,暗示,情节vt. 暗示,提供线索"
commonplace,"n. 常事,老生常谈,普通的东西a. 平凡的,陈腐的"
complicate,"vt. 弄复杂,使错综,使起纠纷vi. 变复杂"
confidence,n. 信心
corp,n. 公司;股份有限公司
crude,"a. 天然的,未成熟的,粗糙的,粗鲁的n. 天然的物质"
deceive,"v. 欺骗,行骗"
investigative,"a. 研究的,调查的,好研究的"
invisible,"a. 看不见的,无形的"
landfill,n. (掩埋式) 垃圾处理场
landmark,"n. 陆标,划时代的事,地界标"
leisure,"n. 空闲,闲暇,悠闲a. 空闲的,有闲的"
maintenance,"n. 维护,保持,维修,生活费用,赡养义务,扶养"
manipulate,"vt. 操纵,利用,假造,应付"
masterpiece,"n. 杰作,名著"
memoir,"n. 传记,实录,自传,回忆录,追思录"
mere,"n. 池塘a. 仅仅的,只不过的"
merit,"n. 优点,功绩,真相,功过,价值vt.值得vi. 应受"
modify,"vt. 修正,变更,减轻,缓和,修饰v. 修改"
molecule,"n. 分子,些微"
novelty,"n. 新奇,新鲜,新奇的事物"
objectivity,n. 1 客观性2 对象性
odd,"a. 奇数的,古怪的,剩余的n. 奇数,奇校验"
offspring,"n. 子孙,后代,产物"
openly,"adv. 1 公然2 显然,率直地"
plight,"n. 境况,誓约,困境vt. 宣誓,保证,约定"
potentially,"ad. 可能地,潜在地,假定地"
pragmatic,"a. 忙碌的,活跃的,实用主义的,国事的"
reliable,"a. 可靠的,可信赖的"
aristocracy,"n. 贵族,贵族社会,高级知识分子"
artifact,n. 人造物品
cabin,"n. 小屋,客舱vt. 关在小屋"
constitute,"vt. 构成,组成,任命"
contend,"vi. 奋斗,斗争,竞争vt.为...斗争"
crumb,"n. 碎屑,面包心,少许vt. 捏碎,弄碎"
curve,"n. 曲线,弯曲,曲球vt.弯,使弯曲vi.成曲形"
dismay,"n. 沮丧vt. 使惊愕,使气馁"
disobedience,"n. 不服从,不孝,违反"
eccentric,"n. 怪人,偏心圆a.古怪的,反常的,不同圆心的,"
embarrassment,"n. 困难,阻碍,困窘"
entitle,"vt. 取名为,给予名称,叫做"
feat,"n. 壮举,功绩,技艺表演a. 漂亮的,合适的"
feminist,"n. 男女平等主义者,女权扩张论者a.男女平等主义的"
fictional,"a. 虚构的,编造的,小说式的"
formidable,"a. 强大的,可怕的,艰难的"
frame,"n. 框,结构,体格vt. 构成,设计,陷害,使适合,制定"
elegant,"a. 优雅的,端庄的,高雅的"
rehearse,"vt. 预演,排演,使排练,练习vi. 排练,练习"
quantum,"n. 分配量,额,量,量子"
rational,"a. 理性的,合理的,推理的n. 有理数"
realism,"n. 写实主义,现实,实在论"
realm,"n. 王国,领土,领域"
refute,"vt. 驳倒,反驳"
renaissance,"n. 复活,复兴,文艺复兴a. 文艺复兴的"
rumor,"n. 谣言,传闻vt. 谣传"
shortage,"n. 不足,缺乏"
strain,"n. 紧张,拉紧,张力,过劳vt. 使劳累,拉紧"
surely,"ad. 的确地,安全地"
surf,"n. 海浪,拍岸浪vi. 作冲浪运动"
